accession	monosaccharide
G00002CF	Glc
G00002CF	Hex
G00009BX	GlcNAc
G00009BX	HexNAc
G00012MO	Glc
G00012MO	Hex
G00012RZ	GlcNAc
G00012RZ	HexNAc
G00013MO	Glc
G00013MO	Hex
G00014MO	Glc
G00014MO	Hex
G00015MO	Glc
G00015MO	Hex
G00016MO	Gal
G00016MO	Hex
G00017IP	GlcNAc
G00017IP	HexNAc
G00017MO	GlcNAc
G00017MO	HexNAc
G00018MO	GalNAc
G00018MO	HexNAc
G00019MO	GalNAc
G00019MO	HexNAc
G00020MO	GlcNAc
G00020MO	HexNAc
G00021MO	GlcNAc
G00021MO	HexNAc
G00022MO	GlcN
G00022MO	HexN
G00023MO	GlcNAc
G00023MO	HexNAc
G00024MO	Glc
G00024MO	Hex
G00025AJ	Glc
G00025AJ	Hex
G00025HU	GlcNAc
G00025HU	HexNAc
G00025MO	Glc
G00025MO	Hex
G00025YC	GlcNAc
G00025YC	HexNAc
G00026MO	GlcNAc
G00026MO	HexNAc
G00027JG	GalNAc
G00027JG	HexNAc
G00027MO	GlcNAc
G00027MO	HexNAc
G00028MO	GlcNAc
G00028MO	HexNAc
G00029MO	GlcNAc
G00029MO	HexNAc
G00030HB	GlcNAc
G00030HB	HexNAc
G00030MO	GlcNAc
G00030MO	HexNAc
G00030SF	Gal
G00030SF	Hex
G00031MO	GalNAc
G00031MO	HexNAc
G00032MO	GalNAc
G00032MO	HexNAc
G00033MO	GalNAc
G00033MO	HexNAc
G00034MO	GalNAc
G00034MO	HexNAc
G00034WH	Glc
G00034WH	Hex
G00035MO	GalNAc
G00035MO	HexNAc
G00036MO	GalNAc
G00036MO	HexNAc
G00037MO	GalNAc
G00037MO	HexNAc
G00038JC	Glc
G00038JC	Hex
G00038MO	GalNAc
G00038MO	HexNAc
G00039MO	GalNAc
G00039MO	HexNAc
G00040MO	GalNAc
G00040MO	HexNAc
G00041IL	GalNAc
G00041IL	HexNAc
G00041MO	GalNAc
G00041MO	HexNAc
G00042MO	GalNAc
G00042MO	HexNAc
G00043MO	GalNAc
G00043MO	HexNAc
G00044MO	GalNAc
G00044MO	HexNAc
G00045MO	GlcN
G00045MO	HexN
G00046MO	Gal
G00046MO	Hex
G00047MO	GlcNAc
G00047MO	HexNAc
G00048MO	GlcNAc
G00048MO	HexNAc
G00049MO	Glc
G00049MO	Hex
G00050MO	Glc
G00050MO	Hex
G00051MO	GlcNAc
G00051MO	HexNAc
G00052MO	GlcNAc
G00052MO	HexNAc
G00053MO	GlcNAc
G00053MO	HexNAc
G00054MO	GlcNAc
G00054MO	HexNAc
G00055MO	GlcNAc
G00055MO	HexNAc
G00056HH	GlcNAc
G00056HH	HexNAc
G00056MO	GlcNAc
G00056MO	HexNAc
G00057MO	GlcNAc
G00057MO	HexNAc
G00058MO	GlcNAc
G00058MO	HexNAc
G00059MO	Glc
G00059MO	Hex
G00060BT	GlcNAc
G00060BT	HexNAc
G00060MO	Glc
G00060MO	Hex
G00061MO	Glc
G00061MO	Hex
G00062MO	Gal
G00062MO	Hex
G00063MO	GalNAc
G00063MO	HexNAc
G00064MO	Glc
G00064MO	Hex
G00065MO	GlcNAc
G00065MO	HexNAc
G00066MO	Gal
G00066MO	Hex
G00067MO	Gal
G00067MO	Hex
G00068MO	Gal
G00068MO	Hex
G00069MO	Glc
G00069MO	Hex
G00069YC	GalNAc
G00069YC	HexNAc
G00070MO	Glc
G00070MO	Hex
G00071MO	Glc
G00071MO	Hex
G00072MO	Glc
G00072MO	Hex
G00073FK	GlcN
G00073FK	HexN
G00076PK	GlcNAc
G00076PK	HexNAc
G00084IF	HexNAc
G00084IF	ManNAc
G00089VH	GlcNAc
G00089VH	HexNAc
G00090SL	Hex
G00090SL	Man
G00091RT	Hex
G00091RT	Man
G00091UN	GlcNAc
G00091UN	HexNAc
G00094SE	GalNAc
G00094SE	HexNAc
G00097DN	Glc
G00097DN	Hex
G00104PH	GlcNAc
G00104PH	HexNAc
G00105XF	GlcNAc
G00105XF	HexNAc
G00106LE	GlcNAc
G00106LE	HexNAc
G00106LK	HexNAc
G00112IO	GalNAc
G00112IO	HexNAc
G00113FP	GlcNAc
G00113FP	HexNAc
G00120OY	HexNAc
G00120QS	GlcNAc
G00120QS	HexNAc
G00122QX	Glc
G00122QX	Hex
G00123JF	Pent
G00123JF	Xyl
G00125TX	Gal
G00125TX	Hex
G00133UK	Gal
G00133UK	Hex
G00139WK	GalNAc
G00139WK	HexNAc
G00140QW	GlcNAc
G00140QW	HexNAc
G00140XB	Hex
G00140XB	Man
G00140YZ	GalNAc
G00140YZ	HexNAc
G00141ZD	Glc
G00141ZD	Hex
G00142DY	GlcNAc
G00142DY	HexNAc
G00148WK	GlcNAc
G00148WK	HexNAc
G00152LK	Glc
G00152LK	Hex
G00152SF	GlcNAc
G00152SF	HexNAc
G00152UP	GlcNAc
G00152UP	HexNAc
G00153LJ	Gal
G00153LJ	Hex
G00155YT	GlcNAc
G00155YT	HexNAc
G00157WT	Glc
G00157WT	Hex
G00164QP	GalNAc
G00164QP	HexNAc
G00167VE	GlcNAc
G00167VE	HexNAc
G00171RJ	GlcNAc
G00171RJ	HexNAc
G00173GD	GlcN
G00173GD	HexN
G00175GT	Gal
G00175GT	Hex
G00176HZ	GlcNAc
G00176HZ	HexNAc
G00186HV	GlcN
G00186HV	HexN
G00186OS	GlcNAc
G00186OS	HexNAc
G00194ZL	Pent
G00194ZL	Xyl
G00196CO	GalNAc
G00196CO	HexNAc
G00199AH	GlcNAc
G00199AH	HexNAc
G00199JR	GlcNAc
G00199JR	HexNAc
G00201AB	GlcNAc
G00201AB	HexNAc
G00207YQ	GlcNAc
G00207YQ	HexNAc
G00209ZX	Glc
G00209ZX	Hex
G00210ZX	GlcNAc
G00210ZX	HexNAc
G00211WY	GlcNAc
G00211WY	HexNAc
G00212RH	GlcNAc
G00212RH	HexNAc
G00212ZT	GlcNAc
G00212ZT	HexNAc
G00219DO	GlcNAc
G00219DO	HexNAc
G00219VH	GalNAc
G00219VH	HexNAc
G00221CZ	GlcNAc
G00221CZ	HexNAc
G00227RN	GlcNAc
G00227RN	HexNAc
G00227ZY	Glc
G00227ZY	Hex
G00230CO	GlcNAc
G00230CO	HexNAc
G00230IL	GalNAc
G00230IL	HexNAc
G00231IQ	GlcNAc
G00231IQ	HexNAc
G00231WL	GlcNAc
G00231WL	HexNAc
G00234GG	GalNAc
G00234GG	HexNAc
G00234MX	GlcNAc
G00234MX	HexNAc
G00235HI	HexNAc
G00238CK	GalNAc
G00238CK	HexNAc
G00238FA	Gal
G00238FA	Hex
G00241VQ	GalNAc
G00241VQ	HexNAc
G00247JV	GlcNAc
G00247JV	HexNAc
G00247PL	GlcNAc
G00247PL	HexNAc
G00248DH	GlcNAc
G00248DH	HexNAc
G00249IY	GlcNAc
G00249IY	HexNAc
G00249XF	GalNAc
G00249XF	HexNAc
G00252UK	Glc
G00252UK	Hex
G00257RE	GalNAc
G00257RE	HexNAc
G00257UQ	GalNAc
G00257UQ	HexNAc
G00258QK	GlcNAc
G00258QK	HexNAc
G00272VU	GlcNAc
G00272VU	HexNAc
G00274WK	Glc
G00274WK	Hex
G00277SO	GalNAc
G00277SO	HexNAc
G00279YF	GlcNAc
G00279YF	HexNAc
G00281HB	GlcNAc
G00281HB	HexNAc
G00283TT	GlcNAc
G00283TT	HexNAc
G00284SJ	GlcNAc
G00284SJ	HexNAc
G00287UD	GalNAc
G00287UD	HexNAc
G00288QM	Glc
G00288QM	Hex
G00288RP	GalNAc
G00288RP	HexNAc
G00293HN	Hex
G00294BL	Gal
G00294BL	Hex
G00294TN	Gal
G00294TN	Hex
G00298HY	Hex
G00298HY	Man
G00298LF	Glc
G00298LF	Hex
G00304VE	GalNAc
G00304VE	HexNAc
G00304VG	GlcN
G00304VG	HexN
G00305KL	GlcNAc
G00305KL	HexNAc
G00305KO	Pent
G00305KO	Xyl
G00306VT	Gal
G00306VT	Hex
G00311MF	Gal
G00311MF	Hex
G00318AV	GlcNAc
G00318AV	HexNAc
G00318UE	GlcNAc
G00318UE	HexNAc
G00320ZP	GlcNAc
G00320ZP	HexNAc
G00321UH	GalNAc
G00321UH	HexNAc
G00325UK	GlcNAc
G00325UK	HexNAc
G00328AZ	GlcNAc
G00328AZ	HexNAc
G00328CG	GlcNAc
G00328CG	HexNAc
G00328HB	GlcNAc
G00328HB	HexNAc
G00331XG	GlcNAc
G00331XG	HexNAc
G00333ZL	Glc
G00333ZL	Hex
G00335DM	GlcNAc
G00335DM	HexNAc
G00335JE	GalNAc
G00335JE	HexNAc
G00335TI	HexNAc
G00336XG	Glc
G00336XG	Hex
G00340NM	GlcNAc
G00340NM	HexNAc
G00349CA	GlcNAc
G00349CA	HexNAc
G00356FQ	Hex
G00356FQ	Man
G00357HK	GlcNAc
G00357HK	HexNAc
G00361LC	GlcNAc
G00361LC	HexNAc
G00361YF	GlcNAc
G00361YF	HexNAc
G00362UY	GlcNAc
G00362UY	HexNAc
G00368HM	GlcNAc
G00368HM	HexNAc
G00369RM	GlcNAc
G00369RM	HexNAc
G00370EI	Glc
G00370EI	Hex
G00370ES	GlcNAc
G00370ES	HexNAc
G00371DJ	GalNAc
G00371DJ	HexNAc
G00372ZO	GalNAc
G00372ZO	HexNAc
G00376RB	GalNAc
G00376RB	HexNAc
G00379PJ	GalNAc
G00379PJ	HexNAc
G00381SH	GlcNAc
G00381SH	HexNAc
G00381YD	GlcNAc
G00381YD	HexNAc
G00383KP	GlcNAc
G00383KP	HexNAc
G00383NC	GalNAc
G00383NC	HexNAc
G00383YF	GlcNAc
G00383YF	HexNAc
G00386WN	GalNAc
G00386WN	HexNAc
G00394CR	GalNAc
G00394CR	HexNAc
G00395FS	Glc
G00395FS	Hex
G00395TQ	GlcNAc
G00395TQ	HexNAc
G00396DP	GlcNAc
G00396DP	HexNAc
G00396IE	GlcNAc
G00396IE	HexNAc
G00399LG	GlcNAc
G00399LG	HexNAc
G00401IE	Gal
G00401IE	Hex
G00402KT	Glc
G00402KT	Hex
G00403ZD	GlcN
G00403ZD	HexN
G00407UJ	Glc
G00407UJ	Hex
G00412SV	GlcNAc
G00412SV	HexNAc
G00413UF	GlcNAc
G00413UF	HexNAc
G00415VF	GlcNAc
G00415VF	HexNAc
G00418DG	Hex
G00418DG	Man
G00420CS	GlcNAc
G00420CS	HexNAc
G00422AZ	GlcNAc
G00422AZ	HexNAc
G00423RQ	HexA
G00423RQ	IdoA
G00423TL	GalNAc
G00423TL	HexNAc
G00428HK	GalNAc
G00428HK	HexNAc
G00430ZK	GalNAc
G00430ZK	HexNAc
G00432WV	GlcNAc
G00432WV	HexNAc
G00433KW	GlcNAc
G00433KW	HexNAc
G00435KL	GlcNAc
G00435KL	HexNAc
G00435KX	Gal
G00435KX	Hex
G00438EF	GlcNAc
G00438EF	HexNAc
G00442PP	Pent
G00442PP	Xyl
G00450EO	GlcNAc
G00450EO	HexNAc
G00451UT	GlcNAc
G00451UT	HexNAc
G00454PR	Gal
G00454PR	Hex
G00455NP	Hex
G00455NP	Man
G00457KD	Xxx
G00458CW	GlcNAc
G00458CW	HexNAc
G00459HM	Glc
G00459HM	Hex
G00461ZN	Glc
G00461ZN	Hex
G00463XD	GlcNAc
G00463XD	HexNAc
G00466XG	GlcNAc
G00466XG	HexNAc
G00467QU	GalNAc
G00467QU	HexNAc
G00468KU	GlcNAc
G00468KU	HexNAc
G00468NI	GalNAc
G00468NI	HexNAc
G00469BS	GlcNAc
G00469BS	HexNAc
G00470UO	GlcNAc
G00470UO	HexNAc
G00471UP	GlcNAc
G00471UP	HexNAc
G00480IB	GlcNAc
G00480IB	HexNAc
G00480KJ	GlcNAc
G00480KJ	HexNAc
G00480NH	GlcNAc
G00480NH	HexNAc
G00482HJ	GlcNAc
G00482HJ	HexNAc
G00483IX	Glc
G00483IX	Hex
G00484DO	GlcNAc
G00484DO	HexNAc
G00484WE	GlcNAc
G00484WE	HexNAc
G00487XO	GlcNAc
G00487XO	HexNAc
G00488OU	GlcNAc
G00488OU	HexNAc
G00490QA	Gal
G00490QA	Hex
G00491BE	GlcNAc
G00491BE	HexNAc
G00492CQ	GlcNAc
G00492CQ	HexNAc
G00496OX	GalNAc
G00496OX	HexNAc
G00498NO	Gal
G00498NO	Hex
G00500HT	GlcNAc
G00500HT	HexNAc
G00503EE	GlcNAc
G00503EE	HexNAc
G00504PK	GlcNAc
G00504PK	HexNAc
G00504PZ	GlcNAc
G00504PZ	HexNAc
G00506NQ	Glc
G00506NQ	Hex
G00510MX	Glc
G00510MX	Hex
G00511LE	GlcNAc
G00511LE	HexNAc
G00514XC	GlcNAc
G00514XC	HexNAc
G00519UD	GlcNAc
G00519UD	HexNAc
G00520NI	GalNAc
G00520NI	HexNAc
G00523PT	GalNAc
G00523PT	HexNAc
G00523YW	GlcNAc
G00523YW	HexNAc
G00524NO	GlcNAc
G00524NO	HexNAc
G00527ZE	Hex
G00527ZE	Man
G00531DC	Glc
G00531DC	Hex
G00531ZU	GlcNAc
G00531ZU	HexNAc
G00536FZ	GlcNAc
G00536FZ	HexNAc
G00542QA	GalNAc
G00542QA	HexNAc
G00544JF	GlcNAc
G00544JF	HexNAc
G00545NQ	GlcNAc
G00545NQ	HexNAc
G00547ZN	Hex
G00547ZN	Man
G00550RP	GlcNAc
G00550RP	HexNAc
G00551JZ	GlcNAc
G00551JZ	HexNAc
G00552RX	Glc
G00552RX	Hex
G00553AN	GlcNAc
G00553AN	HexNAc
G00557UC	Glc
G00557UC	Hex
G00558IW	Gal
G00558IW	Hex
G00560KG	GalNAc
G00560KG	HexNAc
G00565QJ	GlcNAc
G00565QJ	HexNAc
G00568LN	GlcNAc
G00568LN	HexNAc
G00569WM	GalNAc
G00569WM	HexNAc
G00572SI	Glc
G00572SI	Hex
G00577YU	Pent
G00577YU	Xyl
G00580XP	Glc
G00580XP	Hex
G00582VL	GlcNAc
G00582VL	HexNAc
G00584KG	GlcNAc
G00584KG	HexNAc
G00584LL	GlcNAc
G00584LL	HexNAc
G00586CV	GlcNAc
G00586CV	HexNAc
G00586TU	GlcNAc
G00586TU	HexNAc
G00586UK	Glc
G00586UK	Hex
G00588HO	GlcNAc
G00588HO	HexNAc
G00591PZ	GlcNAc
G00591PZ	HexNAc
G00594AV	GlcNAc
G00594AV	HexNAc
G00594CD	Gal
G00594CD	Hex
G00595HP	Glc
G00595HP	Hex
G00598SQ	GlcNAc
G00598SQ	HexNAc
G00601UG	Glc
G00601UG	Hex
G00601VC	GlcNAc
G00601VC	HexNAc
G00606LX	GlcNAc
G00606LX	HexNAc
G00608BN	Hex
G00608BN	Man
G00610TG	Glc
G00610TG	Hex
G00615MZ	Hex
G00615MZ	Man
G00618HB	GlcNAc
G00618HB	HexNAc
G00619DD	Hex
G00619DD	Man
G00623OI	Glc
G00623OI	Hex
G00627DR	Hex
G00629YK	GlcNAc
G00629YK	HexNAc
G00631XZ	Gal
G00631XZ	Hex
G00633GI	GlcNAc
G00633GI	HexNAc
G00633PX	HexNAc
G00636QL	GlcNAc
G00636QL	HexNAc
G00641XC	GalNAc
G00641XC	HexNAc
G00644ZZ	GlcNAc
G00644ZZ	HexNAc
G00646SN	GlcNAc
G00646SN	HexNAc
G00647HI	GlcNAc
G00647HI	HexNAc
G00647RA	Glc
G00647RA	Hex
G00650AC	GlcNAc
G00650AC	HexNAc
G00652BK	GalNAc
G00652BK	HexNAc
G00653TI	GalNAc
G00653TI	HexNAc
G00657YY	Gal
G00657YY	Hex
G00659GQ	GlcNAc
G00659GQ	HexNAc
G00660CI	GalNAc
G00660CI	HexNAc
G00662IB	GlcNAc
G00662IB	HexNAc
G00662UH	GlcNAc
G00662UH	HexNAc
G00666EC	GlcNAc
G00666EC	HexNAc
G00667RI	Glc
G00667RI	Hex
G00670OT	GlcNAc
G00670OT	HexNAc
G00672PE	GlcNAc
G00672PE	HexNAc
G00673KJ	Glc
G00673KJ	Hex
G00674TY	Glc
G00674TY	Hex
G00675GF	GalNAc
G00675GF	HexNAc
G00677JU	GlcNAc
G00677JU	HexNAc
G00682IE	GalNAc
G00682IE	HexNAc
G00683ZX	Hex
G00683ZX	Man
G00688TE	GlcN
G00688TE	HexN
G00688XN	Glc
G00688XN	Hex
G00690SD	GlcNAc
G00690SD	HexNAc
G00691LW	Gal
G00691LW	Hex
G00691NS	GlcNAc
G00691NS	HexNAc
G00692HC	GlcNAc
G00692HC	HexNAc
G00695JO	GlcNAc
G00695JO	HexNAc
G00696YZ	Glc
G00696YZ	Hex
G00702NP	GlcNAc
G00702NP	HexNAc
G00702XC	GlcN
G00702XC	HexN
G00705GA	GlcNAc
G00705GA	HexNAc
G00705XW	GlcNAc
G00705XW	HexNAc
G00706AL	GlcNAc
G00706AL	HexNAc
G00706QN	GlcNAc
G00706QN	HexNAc
G00706VT	GlcNAc
G00706VT	HexNAc
G00706YM	GlcNAc
G00706YM	HexNAc
G00707RC	GalNAc
G00707RC	HexNAc
G00709CF	GlcNAc
G00709CF	HexNAc
G00709ZM	Glc
G00709ZM	Hex
G00711NG	Hex
G00711NG	Man
G00711QT	GalNAc
G00711QT	HexNAc
G00717KJ	GlcNAc
G00717KJ	HexNAc
G00721FE	GlcNAc
G00721FE	HexNAc
G00727QV	GlcNAc
G00727QV	HexNAc
G00727XI	Xxx
G00728SN	GalNAc
G00728SN	HexNAc
G00729QB	GlcNAc
G00729QB	HexNAc
G00729SA	GalNAc
G00729SA	HexNAc
G00735QX	GlcNAc
G00735QX	HexNAc
G00736XN	Glc
G00736XN	Hex
G00736YF	GlcNAc
G00736YF	HexNAc
G00738BQ	GlcNAc
G00738BQ	HexNAc
G00740UU	GlcNAc
G00740UU	HexNAc
G00741NZ	GlcNAc
G00741NZ	HexNAc
G00743WU	GlcNAc
G00743WU	HexNAc
G00745CN	GalNAc
G00745CN	HexNAc
G00745GK	GalNAc
G00745GK	HexNAc
G00747KK	GlcNAc
G00747KK	HexNAc
G00747UC	GlcNAc
G00747UC	HexNAc
G00754TS	GalNAc
G00754TS	HexNAc
G00757LJ	GlcNAc
G00757LJ	HexNAc
G00758FQ	Gal
G00758FQ	Hex
G00760ZJ	Glc
G00760ZJ	Hex
G00761MZ	Glc
G00761MZ	Hex
G00761OX	Glc
G00761OX	Hex
G00761TV	Hex
G00763JM	HexNAc
G00774OZ	Glc
G00774OZ	Hex
G00774WE	HexNAc
G00780PN	GlcNAc
G00780PN	HexNAc
G00783PW	GlcNAc
G00783PW	HexNAc
G00785BQ	GlcN
G00785BQ	HexN
G00786XQ	Glc
G00786XQ	Hex
G00787AF	Glc
G00787AF	Hex
G00788HS	Glc
G00788HS	Hex
