GlyTouCanAccession	TaxID	Source	SourceID
G00016MO	183218	GlyTouCan	G00016MO
G00016MO	47083	GlyTouCan	G00016MO
G00016MO	727	GlyTouCan	G00016MO
G00017MO	9606	GlyTouCan	G00017MO
G00018MO	10114	GlyTouCan	G00018MO
G00018MO	107258	GlyTouCan	G00018MO
G00018MO	7778	GlyTouCan	G00018MO
G00024MO	3193	GlyTouCan	G00024MO
G00024MO	4932	GlyTouCan	G00024MO
G00024MO	5664	GlyTouCan	G00024MO
G00025AJ	9606	GlyTouCan	G00025AJ
G00025MO	4530	GlyTouCan	G00025MO
G00025MO	4565	GlyTouCan	G00025MO
G00026MO	3885	GlyTouCan	G00026MO
G00026MO	6846	GlyTouCan	G00026MO
G00027MO	10090	GlyConnectStructure	1555
G00027MO	10114	GlyTouCan	G00027MO
G00027MO	10116	GlyTouCan	G00027MO
G00028MO	3885	GlyTouCan	G00028MO
G00028MO	3988	GlyTouCan	G00028MO
G00028MO	4530	GlyTouCan	G00028MO
G00028MO	7458	GlyTouCan	G00028MO
G00031MO	10029	GlyTouCan	G00031MO
G00031MO	10090	GlyConnectStructure	1947
G00031MO	10090	GlyTouCan	G00031MO
G00031MO	10114	GlyTouCan	G00031MO
G00031MO	10116	GlyConnectStructure	1947
G00031MO	10116	GlyTouCan	G00031MO
G00031MO	185739	GlyTouCan	G00031MO
G00031MO	2697049	GlyConnectStructure	1947
G00031MO	2697049	GlyConnectStructure	9262
G00031MO	48550	GlyTouCan	G00031MO
G00031MO	622	GlyTouCan	G00031MO
G00031MO	7227	GlyConnectStructure	1947
G00031MO	7227	GlyTouCan	G00031MO
G00031MO	8048	GlyTouCan	G00031MO
G00031MO	9544	GlyTouCan	G00031MO
G00031MO	9606	GlyConnectStructure	1947
G00031MO	9606	GlyConnectStructure	9262
G00031MO	9606	GlyTouCan	G00031MO
G00031MO	9606	UniCarbKB	4
G00031MO	9615	GlyTouCan	G00031MO
G00031MO	9825	GlyTouCan	G00031MO
G00031MO	9913	GlyTouCan	G00031MO
G00031MO	9986	GlyTouCan	G00031MO
G00032MO	195	GlyTouCan	G00032MO
G00032MO	622	GlyTouCan	G00032MO
G00032MO	9031	GlyTouCan	G00032MO
G00032MO	9606	UniCarbKB	G00032MO
G00033MO	10090	GlyConnectStructure	3318
G00033MO	10116	GlyConnectStructure	3318
G00033MO	2697049	GlyConnectStructure	3318
G00033MO	7227	GlyConnectStructure	3318
G00033MO	9606	GlyConnectStructure	3318
G00033MO	9606	GlyTouCan	G00033MO
G00034MO	10029	GlyTouCan	G00034MO
G00034MO	10114	GlyTouCan	G00034MO
G00034MO	9606	GlyTouCan	G00034MO
G00034MO	9940	GlyTouCan	G00034MO
G00035MO	10116	GlyConnectStructure	2294
G00035MO	9606	GlyConnectStructure	2294
G00035MO	9606	GlyTouCan	G00035MO
G00036MO	9606	GlyTouCan	G00036MO
G00037MO	9606	GlyTouCan	G00037MO
G00038MO	9606	GlyTouCan	G00038MO
G00039MO	9606	GlyConnectStructure	500
G00039MO	9606	GlyTouCan	G00039MO
G00040MO	9031	GlyTouCan	G00040MO
G00040MO	9606	GlyTouCan	G00040MO
G00041MO	9606	GlyConnectStructure	690
G00042MO	9606	GlyTouCan	G00042MO
G00043MO	9913	GlyTouCan	G00043MO
G00044MO	9606	GlyTouCan	G00044MO
G00045MO	5690	GlyTouCan	G00045MO
G00046MO	5664	GlyTouCan	G00046MO
G00046MO	5693	GlyTouCan	G00046MO
G00046MO	9615	GlyTouCan	G00046MO
G00046MO	9823	GlyTouCan	G00046MO
G00047MO	12721	GlyTouCan	G00047MO
G00047MO	9606	GlyTouCan	G00047MO
G00048MO	10090	GlyTouCan	G00048MO
G00048MO	210	GlyTouCan	G00048MO
G00048MO	9534	GlyTouCan	G00048MO
G00048MO	9606	GlyTouCan	G00048MO
G00048MO	9986	GlyTouCan	G00048MO
G00049MO	9606	GlyTouCan	G00049MO
G00049MO	9823	GlyTouCan	G00049MO
G00049MO	9940	GlyTouCan	G00049MO
G00049MO	9986	GlyTouCan	G00049MO
G00050MO	10090	GlyTouCan	G00050MO
G00050MO	10114	GlyTouCan	G00050MO
G00050MO	9606	GlyTouCan	G00050MO
G00050MO	9823	GlyTouCan	G00050MO
G00051MO	10090	GlyTouCan	G00051MO
G00051MO	210	GlyTouCan	G00051MO
G00051MO	85962	GlyTouCan	G00051MO
G00051MO	8638	GlyTouCan	G00051MO
G00051MO	9606	GlyTouCan	G00051MO
G00052MO	10036	GlyTouCan	G00052MO
G00052MO	10090	GlyTouCan	G00052MO
G00052MO	10114	GlyTouCan	G00052MO
G00052MO	102617	GlyTouCan	G00052MO
G00052MO	11676	GlyTouCan	G00052MO
G00052MO	12721	GlyTouCan	G00052MO
G00052MO	210	GlyTouCan	G00052MO
G00052MO	85962	GlyTouCan	G00052MO
G00052MO	9534	GlyTouCan	G00052MO
G00052MO	9606	GlyTouCan	G00052MO
G00052MO	9615	GlyTouCan	G00052MO
G00052MO	9685	GlyTouCan	G00052MO
G00052MO	9823	GlyTouCan	G00052MO
G00052MO	9913	GlyTouCan	G00052MO
G00052MO	9986	GlyTouCan	G00052MO
G00053MO	10090	GlyTouCan	G00053MO
G00053MO	9606	GlyTouCan	G00053MO
G00054MO	10029	GlyTouCan	G00054MO
G00054MO	10036	GlyTouCan	G00054MO
G00054MO	10090	GlyTouCan	G00054MO
G00054MO	10114	GlyTouCan	G00054MO
G00054MO	210	GlyTouCan	G00054MO
G00054MO	9031	GlyTouCan	G00054MO
G00054MO	9542	GlyTouCan	G00054MO
G00054MO	9544	GlyTouCan	G00054MO
G00054MO	9606	GlyTouCan	G00054MO
G00054MO	9823	GlyTouCan	G00054MO
G00054MO	9986	GlyTouCan	G00054MO
G00055MO	10359	GlyTouCan	G00055MO
G00055MO	210	GlyTouCan	G00055MO
G00055MO	485	GlyTouCan	G00055MO
G00055MO	9606	GlyTouCan	G00055MO
G00056MO	562	GlyTouCan	G00056MO
G00056MO	9606	GlyTouCan	G00056MO
G00057MO	9606	GlyTouCan	G00057MO
G00058MO	10029	GlyTouCan	G00058MO
G00058MO	10090	GlyTouCan	G00058MO
G00058MO	9606	GlyTouCan	G00058MO
G00059MO	10026	GlyTouCan	G00059MO
G00059MO	10090	GlyTouCan	G00059MO
G00059MO	10114	GlyTouCan	G00059MO
G00059MO	528345	GlyTouCan	G00059MO
G00059MO	5659	GlyTouCan	G00059MO
G00059MO	60711	GlyTouCan	G00059MO
G00059MO	9031	GlyTouCan	G00059MO
G00059MO	9542	GlyTouCan	G00059MO
G00059MO	9544	GlyTouCan	G00059MO
G00059MO	9606	GlyTouCan	G00059MO
G00059MO	9615	GlyTouCan	G00059MO
G00059MO	9823	GlyTouCan	G00059MO
G00059MO	9913	GlyTouCan	G00059MO
G00059MO	9940	GlyTouCan	G00059MO
G00059MO	9986	GlyTouCan	G00059MO
G00060BT	9606	GlyTouCan	G00060BT
G00061MO	10026	GlyTouCan	G00061MO
G00061MO	10090	GlyTouCan	G00061MO
G00061MO	10114	GlyTouCan	G00061MO
G00061MO	319528	GlyTouCan	G00061MO
G00061MO	5659	GlyTouCan	G00061MO
G00061MO	6544	GlyTouCan	G00061MO
G00061MO	8022	GlyTouCan	G00061MO
G00061MO	9031	GlyTouCan	G00061MO
G00061MO	9534	GlyTouCan	G00061MO
G00061MO	9606	GlyTouCan	G00061MO
G00061MO	9615	GlyTouCan	G00061MO
G00061MO	9821	GlyTouCan	G00061MO
G00061MO	9823	GlyTouCan	G00061MO
G00061MO	9913	GlyTouCan	G00061MO
G00061MO	9940	GlyTouCan	G00061MO
G00061MO	9986	GlyTouCan	G00061MO
G00063MO	9606	GlyTouCan	G00063MO
G00065MO	10029	GlyTouCan	G00065MO
G00065MO	487	GlyTouCan	G00065MO
G00065MO	9606	GlyConnectStructure	2804
G00065MO	9606	GlyTouCan	G00065MO
G00066MO	10114	GlyTouCan	G00066MO
G00066MO	10116	GlyTouCan	G00066MO
G00066MO	8355	GlyTouCan	G00066MO
G00066MO	9598	GlyTouCan	G00066MO
G00066MO	9601	GlyTouCan	G00066MO
G00066MO	9606	GlyTouCan	G00066MO
G00066MO	9615	GlyTouCan	G00066MO
G00066MO	9685	GlyTouCan	G00066MO
G00066MO	9796	GlyTouCan	G00066MO
G00066MO	9823	GlyTouCan	G00066MO
G00066MO	9825	GlyTouCan	G00066MO
G00066MO	9986	GlyTouCan	G00066MO
G00068MO	9606	GlyTouCan	G00068MO
G00068MO	9823	GlyTouCan	G00068MO
G00069MO	10141	GlyTouCan	G00069MO
G00069MO	562	GlyTouCan	G00069MO
G00069MO	9606	GlyTouCan	G00069MO
G00069MO	9913	GlyTouCan	G00069MO
G00070MO	528352	GlyTouCan	G00070MO
G00070MO	9606	GlyTouCan	G00070MO
G00070MO	9913	GlyTouCan	G00070MO
G00071MO	9913	GlyTouCan	G00071MO
G00076PK	9606	GlyTouCan	G00076PK
G00089VH	9606	GlyTouCan	G00089VH
G00112IO	9606	GlyTouCan	G00112IO
G00123JF	1397	GlyTouCan	G00123JF
G00140YZ	9548	GlyTouCan	G00140YZ
G00155YT	9606	GlyConnectStructure	1542
G00167VE	9913	GlyTouCan	G00167VE
G00176HZ	10026	GlyTouCan	G00176HZ
G00176HZ	10116	GlyConnectStructure	359
G00176HZ	9606	UniCarbKB	3287
G00194GV	2697049	GLYDS000479	
G00194GV	2697049	UniCarbKB	comp_HexNAc1Hex0dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G00199JR	10116	GlyTouCan	G00199JR
G00212ZT	10029	GlyTouCan	G00212ZT
G00212ZT	10535	GlyTouCan	G00212ZT
G00212ZT	4081	GlyTouCan	G00212ZT
G00212ZT	9606	GlyTouCan	G00212ZT
G00212ZT	9913	GlyTouCan	G00212ZT
G00219DO	9913	GlyTouCan	G00219DO
G00219VH	10116	GlyConnectStructure	2620
G00227RN	9606	GlyConnectStructure	1772
G00227RN	9606	UniCarbKB	7149
G00249IY	9606	GlyConnectStructure	2511
G00272VU	9606	GlyConnectStructure	1535
G00279YF	9606	GlyTouCan	G00279YF
G00281HB	9606	GlyConnectStructure	2477
G00281HB	9606	UniCarbKB	7675
G00287UD	9606	GlyTouCan	G00287UD
G00298HY	10029	GlyTouCan	G00298HY
G00320ZP	10114	GlyTouCan	G00320ZP
G00320ZP	10116	GlyConnectStructure	2336
G00361YF	9031	GlyTouCan	G00361YF
G00362UY	10029	GlyTouCan	G00362UY
G00362UY	10114	GlyTouCan	G00362UY
G00362UY	9606	GlyTouCan	G00362UY
G00362UY	9823	GlyTouCan	G00362UY
G00370EI	9606	GlyTouCan	G00370EI
G00383YF	9103	GlyTouCan	G00383YF
G00395TQ	10090	GlyConnectStructure	1879
G00395TQ	10116	GlyConnectStructure	1879
G00395TQ	4615	GlyTouCan	G00395TQ
G00395TQ	7227	GlyConnectStructure	1879
G00395TQ	9606	GlyConnectStructure	1879
G00395TQ	9606	GlyTouCan	G00395TQ
G00395TQ	9606	UniCarbKB	2553
G00406II	10090	GlyConnectComposition	345
G00406II	10116	GlyConnectComposition	345
G00406II	2697049	GlyConnectComposition	345
G00406II	7227	GlyConnectComposition	345
G00406II	9606	GlyConnectComposition	345
G00413UF	9606	GlyTouCan	G00413UF
G00420UH	9606	GlyConnectComposition	931
G00428HK	9606	GlyTouCan	G00428HK
G00430ZK	9606	GlyTouCan	G00430ZK
G00432WV	10114	GlyTouCan	G00432WV
G00432WV	9606	GlyTouCan	G00432WV
G00433KW	5659	GlyTouCan	G00433KW
G00433KW	5665	GlyTouCan	G00433KW
G00433KW	78083	GlyTouCan	G00433KW
G00433KW	9823	GlyTouCan	G00433KW
G00433UK	9606	GlyConnectComposition	1062
G00463XD	9606	UniCarbKB	7453
G00467QU	145282	GlyTouCan	G00467QU
G00468NI	9606	GlyConnectStructure	1419
G00469BS	9796	GlyTouCan	G00469BS
G00470UO	9606	GlyTouCan	G00470UO
G00482HJ	11309	GlyTouCan	G00482HJ
G00482HJ	11313	GlyTouCan	G00482HJ
G00482HJ	126283	GlyTouCan	G00482HJ
G00482HJ	8976	GlyTouCan	G00482HJ
G00482HJ	9606	GlyTouCan	G00482HJ
G00492CQ	9606	GlyTouCan	G00492CQ
G00492CQ	9913	GlyTouCan	G00492CQ
G00503EE	10090	GlyTouCan	G00503EE
G00503EE	9823	GlyTouCan	G00503EE
G00504PZ	10114	GlyTouCan	G00504PZ
G00504PZ	9606	GlyTouCan	G00504PZ
G00520NI	10116	GlyTouCan	G00520NI
G00547ZN	10114	GlyTouCan	G00547ZN
G00547ZN	9606	GlyTouCan	G00547ZN
G00551JZ	9606	GlyConnectStructure	3166
G00551JZ	9606	UniCarbKB	4799
G00553AN	9606	UniCarbKB	7817
G00582VL	9606	GlyTouCan	G00582VL
G00606LX	9606	GlyTouCan	G00606LX
G00619DD	9606	GlyTouCan	G00619DD
G00633GI	9606	GlyTouCan	G00633GI
