GlyTouCanAccession	PubMedID	Source
G00031MO	1370965	GlyTouCan
G00031MO	1516058	GlyTouCan
G00031MO	2335739	GlyTouCan
G00031MO	2404571	GlyTouCan
G00031MO	2450649	GlyTouCan
G00031MO	2736629	GlyTouCan
G00031MO	2908846	GlyTouCan
G00031MO	3731131	GlyTouCan
G00031MO	3880667	GlyTouCan
G00031MO	7496150	GlyTouCan
G00031MO	7516636	GlyTouCan
G00031MO	7539400	GlyTouCan
G00031MO	7545084	GlyTouCan
G00031MO	8551046	GlyTouCan
G00031MO	8609376	GlyTouCan
G00031MO	8625037	GlyTouCan
G00031MO	8985092	GlyTouCan
G00031MO	9212232	GlyTouCan
G00031MO	9334809	GlyTouCan
G00031MO	9359491	GlyTouCan
G00031MO	9857245	GlyTouCan
G00031MO	10365852	GlyTouCan
G00031MO	10506931	GlyTouCan
G00031MO	11193738	GlyTouCan
G00031MO	11326683	GlyTouCan
G00031MO	11389097	GlyTouCan
G00031MO	11396208	GlyTouCan
G00031MO	11406562	GlyTouCan
G00031MO	11447138	GlyTouCan
G00031MO	11501845	GlyTouCan
G00031MO	11528254	GlyTouCan
G00031MO	12761161	GlyTouCan
G00031MO	12946359	GlyTouCan
G00031MO	12995288	GlyTouCan
G00031MO	14736333	GlyTouCan
G00031MO	14741734	GlyTouCan
G00031MO	15179519	GlyTouCan
G00031MO	15221966	GlyTouCan
G00031MO	15466199	GlyTouCan
G00031MO	15505370	GlyTouCan
G00031MO	15623485	GlyTouCan
G00031MO	15843572	GlyTouCan
G00031MO	15862866	GlyTouCan
G00031MO	15864746	GlyTouCan
G00031MO	16033536	GlyTouCan
G00031MO	16177266	GlyTouCan
G00031MO	16203776	GlyTouCan
G00031MO	16384952	GlyTouCan
G00031MO	16525726	GlyTouCan
G00031MO	16547942	GlyTouCan
G00031MO	16563047	GlyTouCan
G00031MO	16615117	GlyTouCan
G00031MO	16770733	GlyTouCan
G00031MO	16776550	GlyTouCan
G00031MO	16804430	GlyTouCan
G00031MO	16824489	GlyTouCan
G00031MO	16965854	GlyTouCan
G00031MO	16990264	GlyTouCan
G00031MO	17057347	GlyTouCan
G00031MO	17090649	GlyTouCan
G00031MO	17100645	GlyTouCan
G00031MO	17457671	GlyTouCan
G00031MO	17537433	GlyTouCan
G00031MO	17607374	GlyTouCan
G00031MO	17652409	GlyTouCan
G00031MO	17674202	GlyTouCan
G00031MO	17694322	GlyTouCan
G00031MO	17708590	GlyTouCan
G00031MO	18282768	GlyTouCan
G00031MO	18301385	GlyTouCan
G00031MO	18662810	GlyTouCan
G00031MO	18824562	GlyTouCan
G00031MO	19021580	GlyTouCan
G00031MO	19162326	GlyTouCan
G00031MO	19496993	GlyTouCan
G00031MO	21551457	GlyTouCan
G00036MO	8620877	GlyTouCan
G00039MO	16630548	GlyTouCan
G00039MO	19882123	GlyTouCan
G00048MO	1306106	GlyTouCan
G00048MO	1609521	GlyTouCan
G00048MO	1732113	GlyTouCan
G00048MO	2429066	GlyTouCan
G00048MO	2460087	GlyTouCan
G00048MO	3510728	GlyTouCan
G00048MO	3516890	GlyTouCan
G00048MO	7309759	GlyTouCan
G00048MO	8038519	GlyTouCan
G00048MO	8340252	GlyTouCan
G00048MO	9076517	GlyTouCan
G00048MO	10393028	GlyTouCan
G00048MO	10992504	GlyTouCan
G00048MO	12213787	GlyTouCan
G00049MO	8232334	GlyTouCan
G00052MO	17607374	GlyTouCan
G00052MO	3510728	GlyTouCan
G00052MO	8038519	GlyTouCan
G00052MO	8340252	GlyTouCan
G00052MO	9076517	GlyTouCan
G00052MO	10992504	GlyTouCan
G00052MO	12213787	GlyTouCan
G00052MO	1370643	GlyTouCan
G00052MO	1736686	GlyTouCan
G00052MO	1972718	GlyTouCan
G00052MO	2119368	GlyTouCan
G00052MO	2400995	GlyTouCan
G00052MO	2416034	GlyTouCan
G00052MO	2432062	GlyTouCan
G00052MO	2537068	GlyTouCan
G00052MO	2663606	GlyTouCan
G00052MO	2665636	GlyTouCan
G00052MO	3112156	GlyTouCan
G00052MO	3166398	GlyTouCan
G00052MO	3258005	GlyTouCan
G00052MO	6094178	GlyTouCan
G00052MO	6188690	GlyTouCan
G00052MO	6189529	GlyTouCan
G00052MO	6194156	GlyTouCan
G00052MO	6667675	GlyTouCan
G00052MO	7780013	GlyTouCan
G00052MO	7809154	GlyTouCan
G00052MO	8095932	GlyTouCan
G00052MO	8417827	GlyTouCan
G00052MO	8621218	GlyTouCan
G00052MO	8625220	GlyTouCan
G00052MO	9399674	GlyTouCan
G00052MO	9565568	GlyTouCan
G00052MO	10096092	GlyTouCan
G00052MO	10712696	GlyTouCan
G00052MO	11479278	GlyTouCan
G00052MO	12031100	GlyTouCan
G00052MO	16030209	GlyTouCan
G00052MO	16234847	GlyTouCan
G00053MO	1678888	GlyTouCan
G00053MO	1698709	GlyTouCan
G00053MO	1714447	GlyTouCan
G00053MO	1716885	GlyTouCan
G00053MO	2097812	GlyTouCan
G00053MO	2111348	GlyTouCan
G00053MO	2318868	GlyTouCan
G00053MO	2355641	GlyTouCan
G00053MO	2466827	GlyTouCan
G00053MO	3162916	GlyTouCan
G00053MO	3476183	GlyTouCan
G00053MO	3498891	GlyTouCan
G00053MO	3592664	GlyTouCan
G00053MO	6926850	GlyTouCan
G00053MO	7142214	GlyTouCan
G00053MO	7678075	GlyTouCan
G00053MO	7687590	GlyTouCan
G00053MO	7697593	GlyTouCan
G00053MO	7901202	GlyTouCan
G00053MO	8253783	GlyTouCan
G00053MO	9298690	GlyTouCan
G00053MO	10436809	GlyTouCan
G00053MO	12820726	GlyTouCan
G00053MO	15330211	GlyTouCan
G00053MO	20954701	GlyTouCan
G00054MO	17607374	GlyTouCan
G00054MO	1370643	GlyTouCan
G00054MO	2119368	GlyTouCan
G00054MO	2111348	GlyTouCan
G00054MO	9298690	GlyTouCan
G00054MO	12820726	GlyTouCan
G00054MO	15330211	GlyTouCan
G00054MO	1358980	GlyTouCan
G00054MO	1699667	GlyTouCan
G00054MO	1701274	GlyTouCan
G00054MO	1701275	GlyTouCan
G00054MO	2355463	GlyTouCan
G00054MO	2568858	GlyTouCan
G00054MO	2665633	GlyTouCan
G00054MO	2747606	GlyTouCan
G00054MO	3008996	GlyTouCan
G00054MO	3545444	GlyTouCan
G00054MO	3731100	GlyTouCan
G00054MO	4016748	GlyTouCan
G00054MO	6386148	GlyTouCan
G00054MO	6469974	GlyTouCan
G00054MO	7485559	GlyTouCan
G00054MO	7521878	GlyTouCan
G00054MO	7531823	GlyTouCan
G00054MO	7560094	GlyTouCan
G00054MO	7684905	GlyTouCan
G00054MO	7693048	GlyTouCan
G00054MO	7850810	GlyTouCan
G00054MO	8239497	GlyTouCan
G00054MO	8490832	GlyTouCan
G00054MO	8542587	GlyTouCan
G00054MO	8752218	GlyTouCan
G00054MO	8958810	GlyTouCan
G00054MO	9015359	GlyTouCan
G00054MO	9164959	GlyTouCan
G00054MO	9257857	GlyTouCan
G00054MO	9261149	GlyTouCan
G00054MO	9398638	GlyTouCan
G00054MO	9456330	GlyTouCan
G00054MO	9556613	GlyTouCan
G00054MO	9767440	GlyTouCan
G00054MO	9790295	GlyTouCan
G00054MO	9873990	GlyTouCan
G00054MO	9887355	GlyTouCan
G00054MO	10200296	GlyTouCan
G00054MO	10528213	GlyTouCan
G00054MO	10570420	GlyTouCan
G00054MO	10728707	GlyTouCan
G00054MO	11004681	GlyTouCan
G00054MO	11919403	GlyTouCan
G00054MO	12163379	GlyTouCan
G00054MO	12385579	GlyTouCan
G00054MO	14568956	GlyTouCan
G00054MO	15168731	GlyTouCan
G00055MO	9565568	GlyTouCan
G00055MO	7503987	GlyTouCan
