G00118FH	H8N7FS5
G00126JG	H7N9FS2
G00273SJ	H5N4F4
G00665JQ	H5N5F3S
G00714SZ	H3N5F6S
G00841YH	H4N2S3
G00912UN	H5N4S2
G01160VV	H7N7F4
G01194JA	H4N2F2
G01268PO	H5N5F4
G01427NI	H9N8F2S
G01485JJ	H3N6F
G01500QH	H15N14F6S2
G01521EA	H9N8F3S
G01608SO	H12N7
G01650EU	H6N3S
G01678ZX	H7N7F2
G01769LV	H7N7F3S
G01769OH	H3S2
G02033QO	HN3S7
G02294LM	HN6S8
G02528FI	H5N4F5
G02809SX	H9N8F2S2
G02815KT	H5N2
G02837FU	F3
G02841WQ	H6N7F4S
G02886BB	H6N4
G03039XK	H11N10F2S2
G03061VM	H10N9FS3
G03644CB	H8N7F
G04505HU	H7N6F3S3
G04599VH	H4NFS
G04657PL	H5N4F3
G04681UD	H10N
G04797TI	H6N4F3S
G04854VP	H5N8
G05049YU	H4N4F
G05252LA	HFS2
G05289OX	H2N4S3
G05394UY	H2N
G05429KU	H7N6F2S3
G05528SJ	H11N11S
G05609XV	H7N5S2
G05645NK	H6N
G05962QB	H7N6FS2
G06078HG	H14N13FS
G06156DS	H14N2
G06247RL	H6N5S3
G06299ZE	H10N10FS3
G06583FZ	H15N2
G06916JC	H11N10F4S2
G06986ZW	H16N9
G07036HW	H5N6S3
G07043SG	H2N5F4S
G07246CJ	H6N6F
G07278EA	H15N13
G07325EF	H18N10
G07584HV	H3NF3
G07701HX	HN4F5S2
G07717JX	H8N8FS
G07718OH	HN6F5S
G07755XJ	H4N5F2
G07810QS	H8N7S2
G07855UM	H11N11FS
G07888AF	H5NF
G07924UV	H5N7F4S
G08126CK	H8N7F3S3
G08208QR	H2N6
G08246VJ	H3NFS
G08250HU	HN3S4
G08272SZ	H6N6F2S
G08290VR	H4N4FS
G08539HC	H6N7FS
G08590QR	H3N
G08609CW	H6N7FS4
G08678VD	H2N4F2
G08802WO	N3F
G08918QI	H14N5
G08918WF	H5N4F2S
G09231MU	H10N10FS2
G09253ZR	H9N9F4S2
G09281FA	S5
G09321GU	HN3F
G09406IK	H5N6S2
G09536HQ	HN5F3S
G09558WF	H7N7F3S3
G09700PF	H7N7S4
G09816OK	H3NS
G09831WQ	H9N8FS
G09963YP	H6N4F3S2
G10136GN	H3NS5
G10474SS	H2N5F
G10486CT	H5N4
G10488MI	H3N6F2
G10819WX	H6N5F2
G10846EF	HN6
G10846ZT	H6N4F3
G11101UV	H9N6FS2
G11115RO	H7N6S4
G11157ZG	H5N3S2
G11219CI	N9
G11239ZB	H4NS
G11314AS	H4N3F
G11357FA	H2N2S2
